song_key,song_name,kind,t_start,t_end
"Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video).mp3","Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video)",hook,53.88,68.82
DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber,drop,28.70,
DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber,drop,67.22,
DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber,hook,47.77,67.13
"DJ Snake, Lil Jon - Turn Down for What.mp3","DJ Snake, Lil Jon - Turn Down for What",drop,20.77,
"Drake - Confusion (Honestly, Nevermind Remix).mp3","Drake - Confusion (Honestly, Nevermind Remix)",drop,142.98,
"Drake - Confusion (Honestly, Nevermind Remix).mp3","Drake - Confusion (Honestly, Nevermind Remix)",hook,104.12,120.62
Drake - One Dance (Lyrics) ft. Wizkid & Kyla.mp3,Drake - One Dance (Lyrics) ft. Wizkid & Kyla,drop,7.57,
Drake - One Dance (Lyrics) ft. Wizkid & Kyla.mp3,Drake - One Dance (Lyrics) ft. Wizkid & Kyla,drop,53.30,
Drake - One Dance (Lyrics) ft. Wizkid & Kyla.mp3,Drake - One Dance (Lyrics) ft. Wizkid & Kyla,hook,30.21,47.54
Dynoro & Gigi DAgostino - In My Mind.mp3,Dynoro & Gigi DAgostino - In My Mind,drop,48.92,
F1.mp3,F1,drop,33.84,
F1.mp3,F1,drop,42.22,
F1.mp3,F1,hook,42.19,77.08
Father Ocean (Ben Böhmer Remix).mp3,Father Ocean (Ben Böhmer Remix),drop,236.18,
Father Ocean (Ben Böhmer Remix).mp3,Father Ocean (Ben Böhmer Remix),hook,161.67,201.71
I Adore You.mp3,I Adore You,drop,18.04,
I Adore You.mp3,I Adore You,drop,34.05,
I Adore You.mp3,I Adore You,hook,34.05,66.05
I Was Never There.mp3,I Was Never There,drop,102.90,
I Was Never There.mp3,I Was Never There,hook,68.59,102.89
"Jonas Blue, Malive - Edge Of Desire (Radio Edit).mp3","Jonas Blue, Malive - Edge Of Desire (Radio Edit)",drop,11.82,
"Jonas Blue, Malive - Edge Of Desire (Radio Edit).mp3","Jonas Blue, Malive - Edge Of Desire (Radio Edit)",hook,11.79,39.17
"Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala).mp3","Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala)",drop,16.98,
"Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala).mp3","Keinemusik (Rampa, &ME, Adam Port) - Say What (feat. Chuala)",hook,16.96,48.13
"Kendrick Lamar, SZA - All The Stars.mp3","Kendrick Lamar, SZA - All The Stars",drop,40.39,
"Kendrick Lamar, SZA - All The Stars.mp3","Kendrick Lamar, SZA - All The Stars",hook,40.39,59.61
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video].mp3,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],drop,29.44,
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video].mp3,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],drop,49.12,
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video].mp3,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],hook,49.14,69.32
Martin.mp3,Martin,drop,66.00,
Martin.mp3,Martin,hook,66.01,97.99
Martin Garrix - Animals (Official Video).mp3,Martin Garrix - Animals (Official Video),drop,46.12,
Martin Garrix - Animals (Official Video).mp3,Martin Garrix - Animals (Official Video),drop,90.42,
Martin Garrix - Animals (Official Video).mp3,Martin Garrix - Animals (Official Video),hook,46.02,89.56
"MoBlack, Salif Keita, Benja(NL) - Yamore (Official Music Video) ft. Franc Fala , Cesária Evora.mp3","MoBlack, Salif Keita, Benja(NL) - Yamore (Official Music Video) ft. Franc Fala , Cesária Evora",drop,7.57,
"MoBlack, Salif Keita, Benja(NL) - Yamore (Official Music Video) ft. Franc Fala , Cesária Evora.mp3","MoBlack, Salif Keita, Benja(NL) - Yamore (Official Music Video) ft. Franc Fala , Cesária Evora",hook,7.57,39.44
Moderat - More Love (Rampa &ME Remix).mp3,Moderat - More Love (Rampa &ME Remix),drop,64.13,
Moderat - More Love (Rampa &ME Remix).mp3,Moderat - More Love (Rampa &ME Remix),drop,94.67,
Moderat - More Love (Rampa &ME Remix).mp3,Moderat - More Love (Rampa &ME Remix),hook,64.12,94.66
Move.mp3,Move,drop,48.53,
Move.mp3,Move,drop,56.51,
Move.mp3,Move,hook,48.51,56.47
OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records].mp3,OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records],drop,49.41,
OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records].mp3,OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records],hook,49.41,66.02
Pray For Me.mp3,Pray For Me,drop,33.54,
Pray For Me.mp3,Pray For Me,drop,52.55,
Pray For Me.mp3,Pray For Me,hook,52.76,72.04
Rapture - black coffee.mp3,Rapture - black coffee,drop,64.26,
redrum.mp3,redrum,drop,44.95,
redrum.mp3,redrum,drop,56.72,
"Rema, Selena Gomez - Calm Down (Official Music Video).mp3","Rema, Selena Gomez - Calm Down (Official Music Video)",drop,18.13,
"Rema, Selena Gomez - Calm Down (Official Music Video).mp3","Rema, Selena Gomez - Calm Down (Official Music Video)",drop,36.21,
"Rema, Selena Gomez - Calm Down (Official Music Video).mp3","Rema, Selena Gomez - Calm Down (Official Music Video)",hook,18.11,35.94
Reminder.mp3,Reminder,drop,36.14,
Reminder.mp3,Reminder,drop,60.17,
Reminder.mp3,Reminder,hook,60.18,83.71
Silence.mp3,Silence,drop,67.62,
Silence.mp3,Silence,hook,67.62,94.61
Sirens (Extended Version).mp3,Sirens (Extended Version),drop,71.57,
Sirens (Extended Version).mp3,Sirens (Extended Version),drop,103.59,
SKRILLEX - Bangarang feat. Sirah [Official Music Video].mp3,SKRILLEX - Bangarang feat. Sirah [Official Music Video],drop,27.43,
SKRILLEX - Bangarang feat. Sirah [Official Music Video].mp3,SKRILLEX - Bangarang feat. Sirah [Official Music Video],hook,27.42,57.47
Skrillex - Scary Monsters And Nice Sprites (Official Audio).mp3,Skrillex - Scary Monsters And Nice Sprites (Official Audio),drop,41.53,
Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video).mp3,Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video),drop,69.64,
Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video).mp3,Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video),drop,96.96,
Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video).mp3,Skrillex and Diplo - Where Are Ü Now with Justin Bieber (Official Video),hook,69.65,96.71
Starboy.mp3,Starboy,drop,36.53,
Starboy.mp3,Starboy,drop,57.04,
Starboy.mp3,Starboy,hook,57.01,77.76
Summertime Sadness - Techno.mp3,Summertime Sadness - Techno,drop,35.06,
Summertime Sadness - Techno.mp3,Summertime Sadness - Techno,hook,35.04,57.95
ten.mp3,ten,drop,15.75,
ten.mp3,ten,hook,15.76,30.72
The Chainsmokers - Closer (Official Video) ft. Halsey.mp3,The Chainsmokers - Closer (Official Video) ft. Halsey,drop,51.46,
The Chainsmokers - Closer (Official Video) ft. Halsey.mp3,The Chainsmokers - Closer (Official Video) ft. Halsey,drop,71.77,
The Chainsmokers - Closer (Official Video) ft. Halsey.mp3,The Chainsmokers - Closer (Official Video) ft. Halsey,hook,71.79,91.82
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya.mp3,The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,drop,41.96,
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya.mp3,The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,drop,65.36,
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya.mp3,The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,hook,41.96,64.19
The Chainsmokers - Roses (Lyric Video) ft. ROZES.mp3,The Chainsmokers - Roses (Lyric Video) ft. ROZES,drop,68.14,
The Chainsmokers - Roses (Lyric Video) ft. ROZES.mp3,The Chainsmokers - Roses (Lyric Video) ft. ROZES,drop,87.46,
The Weeknd - São Paulo (Official Music Video).mp3,The Weeknd - São Paulo (Official Music Video),drop,64.57,
The Weeknd - São Paulo (Official Music Video).mp3,The Weeknd - São Paulo (Official Music Video),drop,79.61,
The Weeknd - São Paulo (Official Music Video).mp3,The Weeknd - São Paulo (Official Music Video),hook,64.59,79.42
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix.mp3,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,drop,16.63,
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix.mp3,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,drop,80.08,
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix.mp3,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,hook,80.05,111.67
Tyla - Water (Official Music Video).mp3,Tyla - Water (Official Music Video),drop,90.16,
Tyla - Water (Official Music Video).mp3,Tyla - Water (Official Music Video),hook,90.17,106.54
Waiting For Love.mp3,Waiting For Love,drop,75.39,
Waiting For Love.mp3,Waiting For Love,drop,105.44,
50 Cent - In Da Club (Official Music Video).mp3,50 Cent - In Da Club (Official Music Video),drop,48.86,
50 Cent - In Da Club (Official Music Video).mp3,50 Cent - In Da Club (Official Music Video),hook,48.85,71.04
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),drop,18.41,
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),drop,68.93,
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),hook,68.93,86.24
Adele - Rolling in the Deep (Official Music Video).mp3,Adele - Rolling in the Deep (Official Music Video),drop,59.66,
Adele - Rolling in the Deep (Official Music Video).mp3,Adele - Rolling in the Deep (Official Music Video),hook,59.67,77.81
Ariana Grande - positions (official video).mp3,Ariana Grande - positions (official video),drop,28.48,
Ariana Grande - positions (official video).mp3,Ariana Grande - positions (official video),drop,42.54,
Ariana Grande - positions (official video).mp3,Ariana Grande - positions (official video),hook,41.96,54.98
Backstreet Boys - I Want It That Way (Official HD Video).mp3,Backstreet Boys - I Want It That Way (Official HD Video),drop,37.30,
Backstreet Boys - I Want It That Way (Official HD Video).mp3,Backstreet Boys - I Want It That Way (Official HD Video),drop,55.93,
Backstreet Boys - I Want It That Way (Official HD Video).mp3,Backstreet Boys - I Want It That Way (Official HD Video),hook,55.95,73.76
Benson Boone - Beautiful Things (Official Music Video).mp3,Benson Boone - Beautiful Things (Official Music Video),drop,85.68,
Benson Boone - Beautiful Things (Official Music Video).mp3,Benson Boone - Beautiful Things (Official Music Video),hook,85.70,106.59
Billie Eilish - bad guy (Official Music Video).mp3,Billie Eilish - bad guy (Official Music Video),drop,56.83,
Billie Eilish - bad guy (Official Music Video).mp3,Billie Eilish - bad guy (Official Music Video),drop,74.51,
Billie Eilish - bad guy (Official Music Video).mp3,Billie Eilish - bad guy (Official Music Video),hook,74.52,89.85
Billie Eilish - BIRDS OF A FEATHER.mp3,Billie Eilish - BIRDS OF A FEATHER,drop,41.90,
Billie Eilish - BIRDS OF A FEATHER.mp3,Billie Eilish - BIRDS OF A FEATHER,hook,41.88,60.16
Camila Cabello - Havana (Audio) ft. Young Thug.mp3,Camila Cabello - Havana (Audio) ft. Young Thug,drop,47.04,
Camila Cabello - Havana (Audio) ft. Young Thug.mp3,Camila Cabello - Havana (Audio) ft. Young Thug,drop,64.92,
Camila Cabello - Havana (Audio) ft. Young Thug.mp3,Camila Cabello - Havana (Audio) ft. Young Thug,hook,64.93,83.44
Connie Francis - Pretty Little Baby (Official Audio).mp3,Connie Francis - Pretty Little Baby (Official Audio),drop,8.43,
Connie Francis - Pretty Little Baby (Official Audio).mp3,Connie Francis - Pretty Little Baby (Official Audio),hook,8.41,31.40
Desiigner - Panda.mp3,Desiigner - Panda,drop,40.29,
Desiigner - Panda.mp3,Desiigner - Panda,hook,40.29,67.33
Doechii - Anxiety (Official Video).mp3,Doechii - Anxiety (Official Video),drop,93.08,
Doechii - Anxiety (Official Video).mp3,Doechii - Anxiety (Official Video),hook,93.06,117.56
Doja Cat - Paint The Town Red (Official Video).mp3,Doja Cat - Paint The Town Red (Official Video),drop,63.66,
Doja Cat - Paint The Town Red (Official Video).mp3,Doja Cat - Paint The Town Red (Official Video),hook,63.65,83.61
Doja Cat - Woman (Official Video).mp3,Doja Cat - Woman (Official Video),drop,33.13,
Doja Cat - Woman (Official Video).mp3,Doja Cat - Woman (Official Video),hook,32.71,51.74
Drake - God's Plan.mp3,Drake - God's Plan,drop,76.73,
Drake - God's Plan.mp3,Drake - God's Plan,hook,76.74,99.29
"Drake - Hold On, Were Going Home ft. Majid Jordan.mp3","Drake - Hold On, Were Going Home ft. Majid Jordan",drop,182.39,
"Drake - Hold On, Were Going Home ft. Majid Jordan.mp3","Drake - Hold On, Were Going Home ft. Majid Jordan",drop,220.77,
"Drake - Hold On, Were Going Home ft. Majid Jordan.mp3","Drake - Hold On, Were Going Home ft. Majid Jordan",hook,182.43,240.51
Drake & 21 Savage - Jimmy Cooks.mp3,Drake & 21 Savage - Jimmy Cooks,drop,25.83,
Drake & 21 Savage - Jimmy Cooks.mp3,Drake & 21 Savage - Jimmy Cooks,hook,25.80,50.41
Dua Lipa - Don't Start Now (Official Music Video).mp3,Dua Lipa - Don't Start Now (Official Music Video),drop,36.50,
Dua Lipa - Don't Start Now (Official Music Video).mp3,Dua Lipa - Don't Start Now (Official Music Video),drop,51.73,
Dua Lipa - Don't Start Now (Official Music Video).mp3,Dua Lipa - Don't Start Now (Official Music Video),hook,51.74,66.77
Dua Lipa - Houdini (Official Music Video).mp3,Dua Lipa - Houdini (Official Music Video),drop,21.11,
Dua Lipa - Houdini (Official Music Video).mp3,Dua Lipa - Houdini (Official Music Video),hook,21.08,38.18
Ed Sheeran - Shape of You (Official Music Video).mp3,Ed Sheeran - Shape of You (Official Music Video),drop,36.16,
Ed Sheeran - Shape of You (Official Music Video).mp3,Ed Sheeran - Shape of You (Official Music Video),drop,56.20,
Ed Sheeran - Shape of You (Official Music Video).mp3,Ed Sheeran - Shape of You (Official Music Video),hook,56.18,84.04
GAYLE - abcdefu (Official Music Video).mp3,GAYLE - abcdefu (Official Music Video),drop,56.26,
GAYLE - abcdefu (Official Music Video).mp3,GAYLE - abcdefu (Official Music Video),drop,69.09,
GAYLE - abcdefu (Official Music Video).mp3,GAYLE - abcdefu (Official Music Video),hook,69.10,89.58
Glass Animals - Heat Waves (Official Video).mp3,Glass Animals - Heat Waves (Official Video),drop,30.32,
Glass Animals - Heat Waves (Official Video).mp3,Glass Animals - Heat Waves (Official Video),hook,30.29,54.73
Harry Styles - As It Was (Official Video).mp3,Harry Styles - As It Was (Official Video),drop,46.29,
Harry Styles - As It Was (Official Video).mp3,Harry Styles - As It Was (Official Video),drop,58.82,
Harry Styles - As It Was (Official Video).mp3,Harry Styles - As It Was (Official Video),hook,58.80,69.87
Harry Styles - Watermelon Sugar (Official Video).mp3,Harry Styles - Watermelon Sugar (Official Video),drop,51.78,
Harry Styles - Watermelon Sugar (Official Video).mp3,Harry Styles - Watermelon Sugar (Official Video),drop,61.76,
Harry Styles - Watermelon Sugar (Official Video).mp3,Harry Styles - Watermelon Sugar (Official Video),hook,51.75,61.75
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo.mp3,Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,drop,13.32,
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo.mp3,Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,hook,13.30,39.77
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon.mp3","Justin Bieber - Peaches ft. Daniel Caesar, Giveon",drop,11.04,
"Justin Bieber - Peaches ft. Daniel Caesar, Giveon.mp3","Justin Bieber - Peaches ft. Daniel Caesar, Giveon",hook,11.00,53.51
Kendrick Lamar - HUMBLE..mp3,Kendrick Lamar - HUMBLE.,drop,55.73,
Kendrick Lamar - HUMBLE..mp3,Kendrick Lamar - HUMBLE.,hook,55.71,92.86
Kendrick Lamar - Not Like Us.mp3,Kendrick Lamar - Not Like Us,drop,10.86,
Khalid - Better (Official Video).mp3,Khalid - Better (Official Video),drop,29.98,
Khalid - Better (Official Video).mp3,Khalid - Better (Official Video),drop,59.10,
Khalid - Better (Official Video).mp3,Khalid - Better (Official Video),hook,59.11,78.71
Khalid - Location (Official Video).mp3,Khalid - Location (Official Video),drop,14.06,
Khalid - Location (Official Video).mp3,Khalid - Location (Official Video),hook,14.08,37.17
Khalid - Talk (Official Video).mp3,Khalid - Talk (Official Video),drop,24.57,
Khalid - Talk (Official Video).mp3,Khalid - Talk (Official Video),hook,24.57,38.63
Khalid - Young Dumb & Broke (Official Video).mp3,Khalid - Young Dumb & Broke (Official Video),drop,27.62,
Khalid - Young Dumb & Broke (Official Video).mp3,Khalid - Young Dumb & Broke (Official Video),drop,54.23,
Khalid - Young Dumb & Broke (Official Video).mp3,Khalid - Young Dumb & Broke (Official Video),hook,54.26,81.88
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video).mp3","Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",drop,45.56,
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video).mp3","Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",hook,45.57,63.80
Lewis Capaldi - Someone You Loved.mp3,Lewis Capaldi - Someone You Loved,drop,25.39,
Lewis Capaldi - Someone You Loved.mp3,Lewis Capaldi - Someone You Loved,drop,43.64,
Lewis Capaldi - Someone You Loved.mp3,Lewis Capaldi - Someone You Loved,hook,25.35,62.13
Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus.mp3,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,drop,28.55,
Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus.mp3,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,hook,28.57,57.05
"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video).mp3","Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",drop,35.82,
"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video).mp3","Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",hook,35.82,60.89
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,drop,66.54,
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,hook,66.50,85.27
Michael Jackson - Billie Jean (Official Video).mp3,Michael Jackson - Billie Jean (Official Video),drop,87.76,
Michael Jackson - Billie Jean (Official Video).mp3,Michael Jackson - Billie Jean (Official Video),hook,87.79,113.59
Miley Cyrus - Flowers (Official Video).mp3,Miley Cyrus - Flowers (Official Video),drop,34.69,
Miley Cyrus - Flowers (Official Video).mp3,Miley Cyrus - Flowers (Official Video),hook,34.71,50.55
Post Malone - Circles.mp3,Post Malone - Circles,drop,38.51,
Post Malone - Circles.mp3,Post Malone - Circles,drop,70.36,
Post Malone - Circles.mp3,Post Malone - Circles,hook,70.00,88.19
Post Malone - Psycho (Official Music Video) ft. Ty Dolla $ign.mp3,Post Malone - Psycho (Official Music Video) ft. Ty Dolla $ign,drop,28.81,
Post Malone - Psycho (Official Music Video) ft. Ty Dolla $ign.mp3,Post Malone - Psycho (Official Music Video) ft. Ty Dolla $ign,hook,28.82,41.82
"Post Malone, Swae Lee - Sunflower (Spider-Man_ Into the Spider-Verse).mp3","Post Malone, Swae Lee - Sunflower (Spider-Man  Into the Spider-Verse)",drop,28.39,
"Post Malone, Swae Lee - Sunflower (Spider-Man_ Into the Spider-Verse).mp3","Post Malone, Swae Lee - Sunflower (Spider-Man  Into the Spider-Verse)",drop,71.57,
"Post Malone, Swae Lee - Sunflower (Spider-Man_ Into the Spider-Verse).mp3","Post Malone, Swae Lee - Sunflower (Spider-Man  Into the Spider-Verse)",hook,71.58,92.44
Rihanna - Diamonds.mp3,Rihanna - Diamonds,drop,91.64,
Rihanna - Diamonds.mp3,Rihanna - Diamonds,drop,113.28,
Rihanna - Diamonds.mp3,Rihanna - Diamonds,hook,113.32,134.07
Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z.mp3,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,drop,56.29,
Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z.mp3,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,hook,56.32,84.31
Rihanna - We Found Love ft. Calvin Harris.mp3,Rihanna - We Found Love ft. Calvin Harris,drop,64.06,
Rihanna - We Found Love ft. Calvin Harris.mp3,Rihanna - We Found Love ft. Calvin Harris,drop,119.31,
Rihanna - We Found Love ft. Calvin Harris.mp3,Rihanna - We Found Love ft. Calvin Harris,hook,119.35,135.01
ROSE & Bruno Mars - APT. (Official Music Video).mp3,ROSE & Bruno Mars - APT. (Official Music Video),drop,6.90,
ROSE & Bruno Mars - APT. (Official Music Video).mp3,ROSE & Bruno Mars - APT. (Official Music Video),drop,45.41,
ROSE & Bruno Mars - APT. (Official Music Video).mp3,ROSE & Bruno Mars - APT. (Official Music Video),hook,45.39,58.23
Sabrina Carpenter - Espresso.mp3,Sabrina Carpenter - Espresso,drop,22.60,
Sabrina Carpenter - Espresso.mp3,Sabrina Carpenter - Espresso,hook,22.63,41.94
Sheck Wes - Mo Bamba (Official Music Video).mp3,Sheck Wes - Mo Bamba (Official Music Video),drop,33.43,
Sheck Wes - Mo Bamba (Official Music Video).mp3,Sheck Wes - Mo Bamba (Official Music Video),hook,33.46,59.63
squabble up.mp3,squabble up,drop,14.31,
